gene	description	Freq
COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	1
DCBLD1	discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21479]	1
EVC2	EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]	1
GALNT12	polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]	1
LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	1
PAQR7	progestin and adipoQ receptor family member 7 [Source:HGNC Symbol;Acc:HGNC:23146]	1
PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	1
PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	1
RIMKLA	ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725]	1
TMEM144	transmembrane protein 144 [Source:HGNC Symbol;Acc:HGNC:25633]	1
VILL	villin like [Source:HGNC Symbol;Acc:HGNC:30906]	1
